,review_title,review_positive_comments,review_negative_comments,rating,date,name,hotel_url
0,Xuất sắc,Phục vụ trên cả tuyệt vời,,10,tháng 4/2022,Lưu,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
1,Xuất sắc,"theo như booking thì mình không phải đạt cọc hay trả tiền trước, nhưng mình lại được yêu cầu đặt cọc để giữ phòng và khi tới nhận phòng phải thanh toán hết tiền phòng trước khi nhận phòng. đó là điều mình không hài lòng và chưa gặp như vậy bao giờ tại các khách sạn khác. trong khi những khách khác mình thấy khi họ trả phòng mới phải trả tiền.",,"7,0",tháng 3/2023,Phương,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
2,Xuất sắc,Giá treo khăn trong phòng tắm bố trí chưa hợp lý,,"7,0",tháng 3/2023,Hoang,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
3,Xuất sắc,"Gần trung tâm, xung quanh hàng ăn uống rất nhiều. Phòng ốc sạch sẽ, tiện nghi đầy đủ. Mình book đc giá rẻ nên cảm thấy rất oke, ko đòi hỏi gì nhiều. Lần sau lên ĐL sẽ ghé lại","Phòng ko cách âm hay sao ý, cảm thấy hơi ồn.","9,0",tháng 3/2023,Thuý,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
4,Xuất sắc,Kg có nhà hàng trong ks lo bữa sáng,Nên có bữa ăn sáng trong giá thuê phòng,"7,0",tháng 2/2023,Tâm,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
5,Xuất sắc,nội thất gỗ mới sạch sẽ,ở tầng hầm mất sóng với mobi viettel,"8,0",tháng 2/2023,Vương,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
6,Xuất sắc,"NV nhiệt tình, ks ổn vs mức giá như vậy",,"9,0",tháng 2/2023,Nguyen,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
7,Xuất sắc,"nhân viên thân thiện, vệ sinh ổn , vs mức giá như vậy thì quá là oke",,"9,0",tháng 2/2023,Tuyet,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
8,Xuất sắc,Khách sạn sạch sẽ. Nhân viên dễ thương vui vẻ và nhiệt tình. Vị trí gần trung tâm,,"8,0",tháng 1/2023,Kha,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
9,Xuất sắc,nhân viên nhiệt tình,hình như là không có nước nóng . với lại không có sóng điện thoại . nên khi ở trong phòng không gọi điện thoại được,"8,0",tháng 12/2022,Sang,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
10,Tuyệt hảo,"Khách sạn sạch sẽ,thoáng mát,nhân viên phục vụ nhiệt tình.",,"9,0",tháng 11/2022,The,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
11,Tuyệt hảo,"Phòng ở sạch sẽ, thoải mái","Chỗ đậu xẹ nhỏ, ra vào khó khăn","8,0",tháng 8/2022,Thu,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
12,Tuyệt hảo,vị trí,cách âm ko tốt,"8,0",tháng 8/2022,Tài,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
13,Tuyệt hảo,đúng,ks nên bố trí người nhắc nhở khách lưu trú ko gây ồn bên ngoài phòng và ko kéo bàn ghế trong phòng làm ảnh hưởng người xung quanh và khách ở tầng dưới...nói chung khá ồn ào +kéo bàn ghế,"7,0",tháng 6/2022,Lê,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
14,Tuyệt hảo,nhân viên nhiệt tình,Không dọn phòng mỗi ngày,"7,0",tháng 5/2022,Cruise,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
15,Tuyệt hảo,"Phòng ở dưới tầng hầm không có sóng điện thoại, mất liên lạc",,"7,0",tháng 4/2022,Vo,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
16,Tuyệt hảo,"Phòng sạch sẽ, tương đối thoáng mát","Phòng bị hư ổ khóa từ, đi lại rất bất tiện vì cửa không khóa phải nhờ nhân viên sửa chữa liên tục rất bất tiện. Đặc biệt phòng không có cách âm ảnh hưởng đến riêng tư của mỗi gia đình.","7,0",tháng 4/2022,Hxhvip,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
17,Tuyệt hảo,nhân viên nhiệt tình,cách âm không tốt,"9,0",tháng 4/2022,Oranger,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
18,Tuyệt hảo,tạm được thôi nhưng giá rẻ nơi thuận tiện đi lại,,"7,0",tháng 3/2022,Thi,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
19,Tuyệt hảo,gần trung tâm,cửa phòng 102 bị hư rất bất tiện,"8,0",tháng 3/2022,Trâm,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
20,Tạm được,"Địa điểm gần trung tâm, phòng ốc sạch hợp giá tiền",Nhân viên phục vụ tạm được. Ca tối thấy không có ai trực hết,"7,0",tháng 3/2022,Truc,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
21,Tạm được,vị trí,mùi cống,"7,0",tháng 2/2022,Ngo,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
22,Tạm được,"Tiện nghi đầy đủ, phòng gọn gàng, sạch sẽ. Xung quanh khách sạn có nhiều chỗ ăn uống, tạp hoá. Có ban công cho mỗi tầng để khách hút thuốc…",,"9,0",tháng 2/2022,Vy,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
23,Tạm được,Lễ tân lịch sự nói chuyện nhẹ nhàng.,"Cửa phòng và cửa phòng tolet ko được kính lắm.
Phải có cái xô hứng nước tắm thì tốt tại cái vòi hơi thấp còn vòi sen thì phải cầm nên cũng hơi bất tiện chút.","9,0",tháng 5/2021,Như,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
24,Tạm được,Địa điểm tiện lợi đi đứng,,"7,0",tháng 5/2021,Vy,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
25,Tạm được,"Lễ tân, phục vụ nhiệt tình, thân thiện.","Phòng có mùi ẩm, mốc, lâu ngày.","7,0",tháng 4/2021,Thị,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
26,Tạm được,"Chỗ ở sạch, vị trí đi lại thuận tiện và nhân viên thân thiện.",,"8,0",tháng 4/2021,Hai,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
27,Tạm được,"Quầy tiếp tân mở 24/7, luôn có nhân viên hỗ trợ khách khi cần","Hình như vách hơi mỏng nên nghe rõ tiếng ồn từ ngoài đường, hành lang, phòng khác...","7,0",tháng 4/2021,Thảo,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
28,Tạm được,"Nhân viên cực kì lịch sự và dễ thương, phòng khá đẹp, rộng rãi, sạch sẽ, giá rất tốt so với chất lượng. Sẽ quay lại",,"9,0",tháng 4/2021,Phú,https://www.booking.com/hotel/vn/khach-san-mai-hoang.vi.html?label=gen173nr-1FCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AECiAIBqAIDuALJm9ybBsACAdICJDE3MzdlYWUwLTU1ZDktNGQzNi1hMGZlLTU5MGRkZDc0ODY5MtgCBeACAQ&sid=842627633388b4367a2fb42d0ca3ab7f&aid=304142&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9593286d658b00ee&srepoch=1679291099&from=searchresults#hotelTmpl
